student_id,name,grade,section,subject,semester,attendance_pct,participation_level,late_submissions,missing_assignments,total_assignments,quiz_1,quiz_2,quiz_3,quiz_4,quiz_5,quiz_avg,assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,assignment_6,assignment_7,assignment_8,assignment_avg,midterm_score,final_exam_score,overall_score,weak_topic,second_weak_topic,days_since_login,parent_phone,parent_email,risk_score,risk_level
STU1037,Shazia Niazi,Grade 12,B,English,Spring 2025,74.2,Medium,4,0,8,64,67,65,61,60,63.4,67.0,74.0,67.0,62.0,64.0,60.0,77.0,56.0,65.88,57,74,66.01,Vocabulary,Synonyms,2,03185409807,parent.shazia70@gmail.com,33.89,Medium Risk
STU1038,Salman Gill,Grade 9,B,Pakistan Studies,Spring 2025,68.0,Low,4,5,8,23,36,49,34,20,32.4,,,,,35.0,,45.0,28.0,36.0,45,22,32.63,Foreign Policy,Major Cities,17,03281021460,parent.salman78@gmail.com,57.75,High Risk
STU1039,Salman Hussain,Grade 11,C,Pakistan Studies,Spring 2025,88.5,High,1,0,8,82,98,77,88,78,84.6,98.0,100.0,81.0,92.0,83.0,100.0,87.0,78.0,89.88,79,89,85.8,Independence Movement,Natural Resources,2,03200620638,parent.salman65@gmail.com,9.8,Low Risk
STU1040,Asad Javed,Grade 11,C,Computer Science,Spring 2025,42.3,Medium,8,3,8,35,49,38,24,27,34.6,34.0,28.0,,41.0,20.0,,48.0,,34.2,46,37,38.21,HTML/CSS,Algorithms,12,03119827153,parent.asad66@gmail.com,64.41,High Risk
STU1041,Junaid Siddique,Grade 11,C,English,Fall 2025,74.2,High,4,0,8,57,62,68,61,68,63.2,59.0,72.0,59.0,50.0,76.0,71.0,62.0,58.0,63.38,69,79,70.22,Grammar,Essay Writing,4,03308236382,parent.junaid39@gmail.com,26.94,Low Risk
STU1042,Nasreen Bhatti,Grade 9,C,Science,Fall 2025,95.8,High,0,0,8,95,78,95,95,76,87.8,87.0,92.0,79.0,96.0,89.0,82.0,80.0,87.0,86.5,83,86,85.71,Electricity,Optics,1,03311127925,parent.nasreen79@gmail.com,4.31,Low Risk
STU1043,Babar Khawaja,Grade 10,A,Computer Science,Fall 2025,99.2,High,1,0,8,98,85,100,78,89,90.0,80.0,82.0,85.0,99.0,99.0,90.0,95.0,89.0,89.88,78,88,86.28,Functions,HTML/CSS,0,03222080695,parent.babar57@gmail.com,5.24,Low Risk
STU1044,Bushra Siddique,Grade 10,A,Urdu,Spring 2025,78.7,High,3,2,8,57,70,52,70,64,62.6,63.0,53.0,54.0,51.0,,,51.0,59.0,55.17,53,63,58.85,Muhavare,Grammar,6,03136417040,parent.bushra59@gmail.com,25.74,Low Risk
STU1045,Jawad Cheema,Grade 12,B,Pakistan Studies,Spring 2025,94.8,High,2,0,8,88,83,76,97,86,86.0,84.0,92.0,92.0,85.0,89.0,81.0,99.0,89.0,88.88,79,92,86.93,Historical Events,Foreign Policy,2,03150951346,parent.jawad25@gmail.com,10.06,Low Risk
STU1046,Jawad Siddiqui,Grade 9,C,Pakistan Studies,Spring 2025,49.7,High,8,3,8,22,46,44,37,26,35.0,30.0,,44.0,,24.0,45.0,,48.0,38.2,33,47,39.34,Government,Independence Movement,11,03134894497,parent.jawad79@gmail.com,55.09,High Risk
STU1047,Waseem Qureshi,Grade 8,A,Mathematics,Spring 2025,81.0,Medium,1,0,8,58,51,54,73,63,59.8,66.0,53.0,73.0,52.0,65.0,64.0,74.0,61.0,63.5,64,80,68.66,Number Theory,Algebra,3,03265116485,parent.waseem15@gmail.com,25.25,Low Risk
STU1048,Shoaib Aslam,Grade 8,A,Urdu,Fall 2025,91.4,Medium,2,0,8,89,77,77,85,94,84.4,82.0,80.0,82.0,86.0,97.0,98.0,96.0,95.0,89.5,97,96,92.63,Letter Writing,Muhavare,2,03221793305,parent.shoaib74@gmail.com,18.48,Low Risk
STU1049,Nasreen Syed,Grade 8,C,Mathematics,Spring 2025,82.4,Medium,4,1,8,63,73,53,60,63,62.4,71.0,58.0,61.0,54.0,71.0,,65.0,52.0,61.71,52,75,64.07,Algebra,Geometry,2,03299874078,parent.nasreen57@gmail.com,32.93,Medium Risk
STU1050,Saad Memon,Grade 12,C,Mathematics,Fall 2025,91.2,High,1,0,8,98,76,84,94,84,87.2,89.0,81.0,96.0,94.0,84.0,82.0,99.0,93.0,89.75,89,97,91.59,Statistics,Algebra,2,03130839291,parent.saad45@gmail.com,8.34,Low Risk
STU1051,Yasmeen Butt,Grade 11,C,Islamiyat,Spring 2025,94.9,High,0,0,8,80,83,97,99,84,88.6,88.0,89.0,78.0,83.0,82.0,96.0,99.0,90.0,88.12,98,80,87.84,Hadith,Seerat-un-Nabi,0,03300282851,parent.yasmeen77@gmail.com,4.38,Low Risk
STU1052,Mehwish Gill,Grade 11,B,Urdu,Spring 2025,80.1,High,1,0,8,54,55,74,69,51,60.6,71.0,52.0,58.0,64.0,71.0,63.0,65.0,69.0,64.12,58,61,60.79,Muhavare,Story Writing,6,03130552654,parent.mehwish54@gmail.com,18.32,Low Risk
STU1053,Huma Malik,Grade 12,B,English,Fall 2025,51.5,Low,4,3,8,29,50,26,44,24,34.6,23.0,20.0,,35.0,,43.0,,33.0,30.8,37,37,35.28,Comprehension,Vocabulary,29,03161769874,parent.huma74@gmail.com,59.65,High Risk
STU1054,Gulnaz Bhatti,Grade 11,C,Mathematics,Spring 2025,76.4,Low,3,2,8,63,68,62,72,70,67.0,53.0,62.0,,50.0,60.0,55.0,,75.0,59.17,76,71,69.08,Sequences,Probability,2,03217228925,parent.gulnaz23@gmail.com,40.33,Medium Risk
STU1055,Iqra Syed,Grade 11,C,Computer Science,Spring 2025,74.3,Medium,3,0,8,52,66,70,53,66,61.4,66.0,56.0,78.0,74.0,61.0,61.0,73.0,76.0,68.12,53,57,59.1,Databases,Algorithms,4,03152954746,parent.iqra32@gmail.com,31.86,Medium Risk
STU1056,Nasreen Baig,Grade 8,A,Islamiyat,Fall 2025,77.9,Medium,3,2,8,60,54,64,52,65,59.0,59.0,75.0,58.0,68.0,51.0,,61.0,,62.0,59,77,65.9,Zakat,Hadith,5,03110095119,parent.nasreen17@gmail.com,33.88,Medium Risk
STU1057,Nida Mehmood,Grade 8,C,Mathematics,Fall 2025,77.8,High,1,1,8,75,68,70,56,60,65.8,66.0,54.0,51.0,64.0,53.0,75.0,78.0,,63.0,66,59,62.91,Calculus,Algebra,2,03166503199,parent.nida66@gmail.com,18.96,Low Risk
STU1058,Amir Khawaja,Grade 12,A,Computer Science,Fall 2025,74.0,Medium,3,2,8,69,51,75,70,70,67.0,,60.0,53.0,67.0,71.0,,62.0,59.0,62.0,60,53,59.35,Algorithms,Databases,6,03278137018,parent.amir28@gmail.com,33.05,Medium Risk
STU1059,Junaid Aslam,Grade 11,A,Pakistan Studies,Spring 2025,75.3,High,2,2,8,72,73,71,66,52,66.8,61.0,50.0,61.0,59.0,,55.0,,56.0,57.0,56,62,60.46,Foreign Policy,Historical Events,3,03141592779,parent.junaid19@gmail.com,23.21,Low Risk
STU1060,Uzma Sheikh,Grade 12,C,Computer Science,Spring 2025,98.1,High,2,0,8,87,79,80,80,97,84.6,97.0,83.0,92.0,79.0,91.0,89.0,99.0,85.0,89.38,92,87,88.25,HTML/CSS,Algorithms,1,03183072154,parent.uzma70@gmail.com,9.42,Low Risk
STU1061,Imran Cheema,Grade 12,B,Pakistan Studies,Fall 2025,96.7,High,1,0,8,80,81,100,94,79,86.8,86.0,79.0,98.0,93.0,89.0,95.0,81.0,100.0,90.12,87,82,85.83,Historical Events,Geography,1,03173226856,parent.imran67@gmail.com,6.79,Low Risk
STU1062,Naila Baig,Grade 11,A,Islamiyat,Spring 2025,98.3,High,1,0,8,76,87,91,86,82,84.4,90.0,80.0,89.0,85.0,78.0,88.0,81.0,100.0,86.38,82,81,83.01,Pillars of Islam,Fiqh,2,03226823654,parent.naila99@gmail.com,6.91,Low Risk
STU1063,Nimra Bokhari,Grade 12,A,Urdu,Spring 2025,46.3,Low,8,5,8,23,44,29,27,29,30.4,,,22.0,,,23.0,46.0,,30.33,25,40,32.4,Muhavare,Qawaid,23,03254363127,parent.nimra40@gmail.com,74.76,High Risk
STU1064,Asad Mehmood,Grade 8,C,Urdu,Fall 2025,52.1,Low,4,4,8,22,50,36,37,36,36.2,,40.0,32.0,,31.0,28.0,,,32.75,50,22,33.99,Vocabulary,Story Writing,18,03164726746,parent.asad94@gmail.com,60.32,High Risk
STU1065,Amna Siddique,Grade 10,A,Pakistan Studies,Spring 2025,74.7,Medium,4,2,8,65,70,55,75,54,63.8,74.0,,64.0,51.0,59.0,,56.0,51.0,59.17,60,67,63.04,Economy,Independence Movement,6,03206897455,parent.amna79@gmail.com,36.14,Medium Risk
STU1066,Muneeb Rehman,Grade 9,B,Mathematics,Fall 2025,85.7,High,1,0,8,78,100,86,88,87,87.8,92.0,90.0,88.0,83.0,93.0,100.0,93.0,89.0,91.0,80,93,88.31,Number Theory,Trigonometry,0,03215590227,parent.muneeb87@gmail.com,9.84,Low Risk
STU1067,Rabia Lodhi,Grade 10,A,English,Spring 2025,74.1,Medium,4,0,8,72,64,61,64,51,62.4,73.0,77.0,61.0,69.0,63.0,58.0,70.0,75.0,68.25,71,73,69.43,Grammar,Comprehension,4,03237730479,parent.rabia96@gmail.com,34.17,Medium Risk
STU1068,Rahim Khan,Grade 12,C,Science,Fall 2025,41.9,Medium,6,4,8,32,50,38,21,39,36.0,31.0,34.0,,,44.0,,22.0,,32.75,41,31,34.85,Ecology,Periodic Table,19,03184392199,parent.rahim93@gmail.com,60.43,High Risk
STU1069,Shazia Javed,Grade 8,C,Mathematics,Spring 2025,75.4,Medium,3,1,8,72,64,56,69,59,64.0,56.0,53.0,54.0,77.0,52.0,64.0,55.0,,58.71,75,68,67.09,Probability,Algebra,7,03193261266,parent.shazia18@gmail.com,32.13,Medium Risk
STU1070,Zeeshan Lodhi,Grade 10,A,English,Spring 2025,92.6,Medium,0,0,8,100,79,82,100,90,90.2,78.0,89.0,95.0,96.0,89.0,92.0,95.0,82.0,89.5,80,89,87.09,Prepositions,Essay Writing,3,03292450397,parent.zeeshan71@gmail.com,11.67,Low Risk
STU1071,Riffat Niazi,Grade 11,C,Islamiyat,Spring 2025,49.2,Low,7,4,8,24,48,46,44,37,39.8,36.0,,,,49.0,47.0,,21.0,38.25,29,29,33.01,Hadith,Ramadan,12,03143477675,parent.riffat51@gmail.com,67.79,High Risk
STU1072,Kamran Bhatti,Grade 10,A,Computer Science,Fall 2025,67.7,Low,6,2,8,36,40,25,38,50,37.8,41.0,,,39.0,43.0,48.0,39.0,30.0,40.0,25,22,29.51,Recursion,Loops,8,03272188924,parent.kamran83@gmail.com,57.74,High Risk
STU1073,Bushra Chaudhry,Grade 12,B,Islamiyat,Spring 2025,78.8,Medium,3,1,8,57,75,75,71,62,68.0,64.0,52.0,72.0,51.0,,55.0,64.0,63.0,60.14,56,69,63.78,Prayer,Zakat,6,03138565770,parent.bushra50@gmail.com,30.11,Medium Risk
STU1074,Rizwan Bhatti,Grade 9,B,Urdu,Spring 2025,76.5,Medium,2,0,8,53,51,59,62,69,58.8,63.0,57.0,77.0,78.0,55.0,76.0,60.0,68.0,66.75,74,58,63.91,Letter Writing,Prose,5,03238170396,parent.rizwan69@gmail.com,29.35,Low Risk
STU1075,Saba Aslam,Grade 8,A,Urdu,Fall 2025,83.5,Medium,3,0,8,51,59,65,69,70,62.8,71.0,65.0,59.0,67.0,50.0,77.0,53.0,63.0,63.12,73,71,68.28,Poetry,Letter Writing,5,03198230560,parent.saba15@gmail.com,28.75,Low Risk
STU1076,Sobia Noor,Grade 12,A,Computer Science,Fall 2025,86.1,High,2,0,8,83,94,96,94,78,89.0,82.0,81.0,90.0,89.0,88.0,95.0,89.0,82.0,87.0,90,96,91.3,OOP,Recursion,0,03112161027,parent.sobia14@gmail.com,11.92,Low Risk
STU1077,Nimra Rajput,Grade 11,C,Islamiyat,Fall 2025,65.9,Low,8,4,8,25,32,39,43,46,37.0,46.0,36.0,,37.0,,35.0,,,38.5,40,46,41.2,Ramadan,Islamic History,7,03198880296,parent.nimra52@gmail.com,65.98,High Risk
STU1078,Faisal Niazi,Grade 10,C,Computer Science,Spring 2025,89.0,High,2,0,8,93,82,98,76,93,88.4,93.0,83.0,94.0,98.0,97.0,90.0,82.0,99.0,92.0,96,83,89.13,OOP,Loops,1,03105083461,parent.faisal66@gmail.com,11.2,Low Risk
STU1079,Rizwan Niazi,Grade 11,C,Science,Spring 2025,80.8,High,1,2,8,54,66,56,67,60,60.6,62.0,60.0,55.0,64.0,,67.0,60.0,,61.33,71,64,64.54,Genetics,Electricity,6,03229971107,parent.rizwan34@gmail.com,20.61,Low Risk
STU1080,Iqra Zahid,Grade 10,A,Computer Science,Fall 2025,95.6,High,1,0,8,85,90,86,92,100,90.6,86.0,87.0,81.0,96.0,99.0,95.0,90.0,90.0,90.5,87,81,86.32,Data Structures,Databases,2,03291700843,parent.iqra20@gmail.com,6.17,Low Risk
STU1081,Junaid Abbasi,Grade 10,C,Pakistan Studies,Fall 2025,64.0,Low,8,4,8,24,23,39,43,38,33.4,,,27.0,,,40.0,27.0,21.0,28.75,35,42,35.88,Geography,Major Cities,22,03126989817,parent.junaid97@gmail.com,67.45,High Risk
STU1082,Nimra Ali,Grade 9,B,Computer Science,Fall 2025,72.8,High,3,1,8,70,51,74,52,70,63.4,67.0,73.0,73.0,,77.0,51.0,55.0,63.0,65.57,76,73,70.34,Databases,Loops,5,03150012646,parent.nimra47@gmail.com,26.06,Low Risk
STU1083,Usman Ali,Grade 12,C,English,Spring 2025,90.0,High,2,0,8,92,91,90,79,91,88.6,92.0,86.0,84.0,81.0,88.0,83.0,92.0,98.0,88.0,78,90,86.32,Literature,Comprehension,2,03252412611,parent.usman96@gmail.com,10.85,Low Risk
STU1084,Imran Qureshi,Grade 11,B,Computer Science,Fall 2025,59.4,Low,5,5,8,30,49,27,20,28,30.8,29.0,,,,,38.0,,43.0,36.67,33,40,35.74,Recursion,Loops,18,03285963652,parent.imran40@gmail.com,63.23,High Risk
STU1085,Zainab Malik,Grade 10,A,Urdu,Fall 2025,98.8,High,1,0,8,97,78,95,84,86,88.0,97.0,85.0,85.0,82.0,93.0,82.0,92.0,97.0,89.12,100,97,94.37,Letter Writing,Muhavare,3,03303299732,parent.zainab78@gmail.com,5.86,Low Risk
STU1086,Mehwish Javed,Grade 12,A,Pakistan Studies,Fall 2025,75.1,High,1,0,8,67,66,56,68,67,64.8,54.0,55.0,60.0,77.0,66.0,64.0,53.0,71.0,62.5,52,80,66.46,Economy,Historical Events,5,03317081628,parent.mehwish17@gmail.com,18.77,Low Risk
STU1087,Jawad Farooq,Grade 11,B,Computer Science,Spring 2025,95.1,Medium,0,0,8,87,83,75,98,81,84.8,96.0,80.0,79.0,91.0,89.0,100.0,80.0,95.0,88.75,93,81,86.31,Loops,Databases,2,03209754382,parent.jawad33@gmail.com,12.27,Low Risk
STU1088,Nimra Niazi,Grade 11,B,English,Fall 2025,79.6,Medium,2,2,8,61,53,55,67,62,59.6,57.0,76.0,,50.0,74.0,,50.0,59.0,61.0,63,72,65.07,Synonyms,Prepositions,3,03166441007,parent.nimra68@gmail.com,30.72,Medium Risk
STU1089,Junaid Baig,Grade 9,C,English,Spring 2025,59.1,Low,4,3,8,26,22,23,39,21,26.2,42.0,47.0,21.0,27.0,,,43.0,,36.0,39,27,31.64,Grammar,Synonyms,24,03158322758,parent.junaid17@gmail.com,59.47,High Risk
STU1090,Nimra Hashmi,Grade 9,C,English,Fall 2025,96.6,High,0,0,8,84,79,96,91,82,86.4,91.0,87.0,86.0,79.0,95.0,96.0,83.0,98.0,89.38,93,81,86.76,Tenses,Prepositions,2,03272688840,parent.nimra95@gmail.com,4.42,Low Risk
STU1091,Salman Khawaja,Grade 11,B,English,Spring 2025,72.6,Medium,2,0,8,59,72,54,75,64,64.8,51.0,67.0,63.0,63.0,67.0,66.0,54.0,62.0,61.62,56,69,63.43,Vocabulary,Punctuation,7,03121225307,parent.salman67@gmail.com,29.02,Low Risk
STU1092,Nida Siddiqui,Grade 9,A,Computer Science,Fall 2025,78.5,Low,1,0,8,75,74,68,73,71,72.2,67.0,56.0,65.0,56.0,77.0,60.0,59.0,50.0,61.25,73,55,64.19,OOP,Algorithms,7,03302489116,parent.nida71@gmail.com,30.9,Medium Risk
STU1093,Iqra Usmani,Grade 9,B,Pakistan Studies,Spring 2025,96.6,High,2,0,8,95,86,84,83,86,86.8,94.0,93.0,92.0,81.0,93.0,88.0,84.0,89.0,89.25,79,98,89.26,Foreign Policy,Major Cities,1,03298978420,parent.iqra28@gmail.com,9.32,Low Risk
STU1094,Bilal Rehman,Grade 12,C,Computer Science,Fall 2025,72.7,Medium,2,1,8,67,70,71,60,58,65.2,73.0,70.0,73.0,65.0,64.0,55.0,73.0,,67.57,54,79,67.7,Data Structures,Databases,3,03245528752,parent.bilal92@gmail.com,30.14,Medium Risk
